start_time_s,end_time_s,event_type,involved_objects,collision_severity,near_miss,is_collision,notes
52,52,contact,"Arm 2, arm 4",0,0,1,
53,53,contact,"Arm 2, arm 4",0,0,1,
55,55,contact,"Arm 2, arm 4",0,0,1,
62,62,contact,"Arm 2, arm 4",0,0,1,
63,63,contact,"Arm 2, arm 4",0,0,1,
64,64,contact,"Arm 2, arm 4",0,0,1,
68,68,contact,"Arm 2, arm 4",0,0,1,
69,69,contact,"Arm 2, arm 4",0,0,1,
70,72,contact,"Arm 2, arm 4",0,0,1,
74,74,contact,"Arm 2, arm 4",0,0,1,
75,75,contact,"Arm 2, arm 4",0,0,1,
83,84,Swiping collision,"Arm 2, arm 4",0,0,1,
84,85,Swiping collision,"Arm 2, arm 4",0,0,1,
87,88,Swiping collision,"Arm 2, arm 4",0,0,1,
95,96,Swiping collision,"Arm 2, arm 4",0,0,1,
97,98,Swiping collision,"Arm 2, arm 4",0,0,1,
98,99,Swiping collision,"Arm 2, arm 4",0,0,1,
117,117,contact,"Arm 2, arm 4",0,0,1,
119,119,contact,"Arm 2, arm 4",0,0,1,
122,123,Swiping collision,"Arm 2, arm 4",0,0,1,
125,126,Swiping collision,"Arm 2, arm 4",0,0,1,
126,126,contact,"Arm 2, arm 4",0,0,1,
128,128,contact,"Arm 2, arm 4",0,0,1,
129,129,contact,"Arm 2, arm 4",0,0,1,
137,138,Swiping collision,"Arm 2, arm 4",0,0,1,
139,140,Swiping collision,"Arm 2, arm 4",0,0,1,
141,142,contact,"Arm 2, arm 4",0,0,1,
143,144,Swiping collision,"Arm 2, arm 4",0,0,1,
146,147,contact,"Arm 2, arm 4",0,0,1,
160,160,Base board disruption,Arm 4,,0,0,
162,162,Base board disruption,Arm 4,,0,0,
167,167,Base board disruption,Arm 4,,0,0,
170,170,Base board disruption,Arm 4,,0,0,
174,174,Base board disruption,Arm 4,,0,0,
178,178,Base board disruption,Arm 4,,0,0,
189,189,Swiping collision,"Arm 2, push pin",1,0,1,
192,193,contact,"Arm 2, push pin",1,0,1,
196,197,Base board disruption,Arm 2,,0,0,
198,200,Swiping collision,"Arm 4, push pin",1,0,1,
200,201,Swiping collision,"Arm 4, push pin",1,0,1,
202,202,Swiping collision,"Arm 4, push pin",1,0,1,
203,204,contact,"Arm 4, push pin",1,0,1,
205,205,Swiping collision,"Arm 4, push pin",1,0,1,
206,207,Swiping collision,"Arm 4, push pin",1,0,1,
214,215,Scraping collisionBase board disruption,"Arm 4, base board",1,0,1,
216,217,Scraping collision,"Arm 4, base board",0,0,1,
218,218,Scraping collisionBase board disruption,"Arm 4, base board",1,0,1,
234,236,Swiping collision x2,"Arm 2, arm 4",1,0,1,
237,237,Collision,"Arm 2, arm 4",1,0,1,
239,239,Collision,"Arm 2, arm 4",1,0,1,
246,250,Sustained contact,"Arm 2, arm 4",1,0,1,
251,253,Sustained contact,"Arm 2, arm 4",1,0,1,
264,272,,,,1,0,Series of movements where no true contact is made
277,288,,,,0,0,"Arms move together, no true contact is made"
299,312,,,,0,0,"Arms move towards each other, no true contact is made"
322,325,,,,0,0,"Arms move over each other, no true contact is made"
329,340,,,,0,0,"Arms move over each other, no true contact is made"
343,357,,,,0,0,"Arms move over each other, no true contact is made"
361,363,,,,1,0,
365,365,,,,1,0,
368,373,,,,1,0,
376,380,,,,1,0,
385,385,,,,0,0,"Arms move over each other, no true contact is made"
386,386,,,,0,0,"Arms move over each other, no true contact is made"
387,388,contact,"Arm 2, arm 4",0,0,1,
388,389,,,,0,0,"Arms accelerate toward each other, stop before collision"
390,392,,,,0,0,"Arms move over each other, no true contact is made"
393,394,,,,0,0,"Arms move over each other, no true contact is made"
396,397,,,,0,0,"Arms move over each other, no true contact is made"
443,444,Swiping collision,"Arm 2, arm 4",0,0,1,
515,516,,,,1,0,
517,518,Swiping collision,"Arm 2, arm 4",1,0,1,
519,520,Swiping collision,"Arm 2, arm 4",1,0,1,
524,525,Swiping collision,"Arm 2, arm 4",0,0,1,
529,530,,,,1,0,
531,532,Swiping collision,"Arm 2, arm 4",1,0,1,
538,539,Swiping collision,"Arm 2, arm 4",1,0,1,
557,558,Swiping collision,"Arm 2, arm 4, environment",1,0,1,
568,569,Swiping collision,"Arm 2, arm 4",1,0,1,
571,572,Swiping collision,"Arm 2, arm 4",2,0,1,
574,575,Swiping collision,"Arm 2, arm 4",2,0,1,
579,581,contact,"Arm 2, arm 4",1,0,1,Arms moving together in contact
600,601,Swiping collision,"Arm 2, arm 4",1,0,1,
677,678,Swiping collision,"Arm 2, arm 4",1,0,1,
706,707,Swiping collision,"Arm 2, arm 4",1,0,1,
719,720,Swiping collision,"Arm 2, arm 4",0,0,1,
737,738,Swiping collision,"Arm 2, arm 4",1,0,1,
752,753,contact,"Arm 2, arm 4",1,0,1,Sustained contact
754,754,contact,"Arm 2, arm 4",0,0,1,
