feature,importance
dist_TIPL_TIPR,0.1388084
TIPandCircle_conf,0.11513281
dist_TIPL_TIPR_rollmin_1s,0.043682124
TIPandCircle_y,0.042327616
TIPL_area,0.036362875
TIPandCircle_x,0.032399215
TIPandCircle_h,0.030550446
TIPR_x,0.030540198
TIPandCircle_w,0.030341767
dist_TIPL_TIPR_smooth,0.02969213
dist_TIPL_TIPR_tracked,0.028833851
TIPL_x,0.028090889
TIPL_y,0.02722274
TIPandCircle_area,0.026394045
dist_TIPL_CIRCLE,0.025315957
TIPR_h,0.023057546
time_since_both_present,0.022646245
TIPL_w,0.022163736
TIPR_area,0.020552963
TIPR_speed,0.019840492
TIPR_w,0.019574871
TIPR_y,0.019211855
TIPL_conf,0.019143064
iou_TIPL_TIPR_rollmax_1s,0.01840564
combined_tip_speed,0.017201893
TIPL_h,0.015170703
TIPR_conf,0.014300884
dist_TIPL_TIPR_delta,0.014269322
dist_TIPR_CIRCLE,0.013765148
iou_TIPL_TIPR,0.013752907
mask_overlap_frac_TIPL_TIPR_rollmax_1s,0.01340607
TIPandCircle_speed,0.012646001
TIPL_speed,0.011128379
mask_iou_TIPL_TIPR,0.008177402
TIPL_track_state,0.0065875393
mask_overlap_frac_TIPL_TIPR,0.005989588
mask_iou_TIPL_TIPR_rollmax_1s,0.003312696
TIPR_present,0.0
TIPL_present,0.0
mask_overlap_area_TIPL_TIPR,0.0
TIPandCircle_present,0.0
TIPR_track_state,0.0
tip_pair_dropped_this_frame,0.0
